id,title,url,login,display_type,college,department,major,description,link_selector
25,자연과학대학 의생명시스템학부,https://bioinfo.ssu.ac.kr/%ea%b2%8c%ec%8b%9c%ed%8c%90/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,0,dropdown,자연과학대학,의생명시스템학부,,,tr > td.title > a
26,법과대학 법학과,https://law.ssu.ac.kr/menu5/m5sub3/,0,dropdown,법과대학,법학과,,,tr > td.title > a
27,법과대학 국제법무학과,https://lawyer.ssu.ac.kr/web/05/notice_list.do,0,dropdown,법과대학,국제법무학과,,,p.b-title > a
28,사회과학대학 사회복지학부,https://mysoongsil.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad-2/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,0,dropdown,사회과학대학,사회복지학부,,,tr > td.title > a
29,사회과학대학 행정학부,https://pubad.ssu.ac.kr/%ec%a0%95%eb%b3%b4%ea%b4%91%ec%9e%a5/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,0,dropdown,사회과학대학,행정학부,,,tr > td.title > a
30,사회과학대학 정치외교학과,https://politics.ssu.ac.kr/%ed%95%99%ea%b3%bc%ea%b3%b5%ec%a7%80/%ed%95%99%eb%b6%80-%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,0,dropdown,사회과학대학,정치외교학과,,,tr > td.title > a
31,사회과학대학 정보사회학과,http://inso.ssu.ac.kr/sub/sub04_01.php?category=%ED%95%99%EA%B3%BC%EA%B3%B5%EC%A7%80,0,dropdown,사회과학대학,정보사회학과,,,tbody > tr > td.subject > a
32,사회과학대학 언론홍보학과,https://masscom.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/%ed%95%99%eb%b6%80%ea%b3%b5%ec%a7%80/,0,dropdown,사회과학대학,언론홍보학과,,,tr > td.title > a
33,사회과학대학 평생교육학과,http://lifelongedu.ssu.ac.kr/bbs/board.php?bo_table=univ,0,dropdown,사회과학대학,평생교육학과,,,
34,경제통상대학 경제학과,https://eco.ssu.ac.kr/bbs/board.php?bo_table=notice,0,dropdown,경제통상대학,경제학과,,,tbody > tr > td > div > a
35,경제통상대학 글로벌통상학과,https://gtrade.ssu.ac.kr/%ed%95%99%eb%b6%80%ec%95%8c%eb%a6%bc/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,0,dropdown,경제통상대학,글로벌통상학과,,,tr > td.title > a
36,경제통상대학 금융경제학과,https://ecofinance.ssu.ac.kr/board/notice,0,dropdown,경제통상대학,금융경제학과,,,tbody > tr > td.td-title > a
