college,department,major,공지사항 URL
경영대학,복지경영학과,-,https://bokjimgt.ssu.ac.kr/%ed%95%99%ec%82%ac%ec%95%88%eb%82%b4/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/
경영대학,회계세무학과,-,https://actx.ssu.ac.kr/%ed%95%99%ec%82%ac%ec%95%88%eb%82%b4/m2sub1/
공과대학,화학공학과,-,http://chemeng.ssu.ac.kr/sub/sub03_01.php
공과대학,신소재공학과,-,https://materials.ssu.ac.kr/bbs/board.php?tbl=bbs51
공과대학,전기공학부,-,http://ee.ssu.ac.kr/sub/sub05_02.php
공과대학,기계공학부,-,https://me.ssu.ac.kr/notice/notice01.php
공과대학,산업·정보시스템공학과,-,https://iise.ssu.ac.kr/cummunity/notice/
공과대학,건축학부,-,https://soar.ssu.ac.kr/news/notice/
IT대학,컴퓨터학부,-,https://cse.ssu.ac.kr/bbs/board.php?bo_table=notice
IT대학,전자정보공학부,전자정보공학부,http://infocom.ssu.ac.kr/kor/notice/undergraduate.php
IT대학,전자정보공학부,IT융합전공,http://infocom.ssu.ac.kr/kor/notice/undergraduate.php
IT대학,글로벌미디어학부,-,http://media.ssu.ac.kr/sub.php?code=XxH00AXY&category=1
IT대학,소프트웨어학부,-,https://sw.ssu.ac.kr/bbs/board.php?bo_table=notice
IT대학,AI융합학부,-,https://aix.ssu.ac.kr/notice.html
IT대학,미디어경영학과,-,https://mediamba.ssu.ac.kr/board/notice
IT대학,정보보호학과,-,https://sec.ssu.ac.kr/bbs/board.php?bo_table=notice
AI대학,AI소프트웨어학부,소프트웨어전공,-
AI대학,AI소프트웨어학부,정보보호전공,-
AI대학,AI소프트웨어학부,인공지능전공,-
AI대학,AI소프트웨어학부,AI시스템전공,-
베어드학부대학,자유전공학부,-,https://sls.ssu.ac.kr/%ed%95%99%eb%b6%80%ec%86%8c%ec%8b%9d/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/
융합특성화자유전공학부,융합특성화자유전공학부,-,http://ssuconvergence.co.kr/sub/sub03_01.php
차세대반도체학과,차세대반도체학과,-,https://www.disu.ac.kr/community/notice
